reader_id,liked,when,book_id
1,4.0,"07/31/2000, 03:45:03",0
1,4.0,"07/31/2000, 03:20:47",2
1,4.0,"07/31/2000, 03:37:04",5
1,5.0,"07/31/2000, 04:03:35",43
1,5.0,"07/31/2000, 03:48:51",46
1,3.0,"07/31/2000, 03:40:00",62
1,5.0,"07/31/2000, 03:14:28",89
1,4.0,"07/31/2000, 03:36:16",97
1,5.0,"07/31/2000, 04:07:21",124
1,5.0,"07/31/2000, 04:08:20",130
1,5.0,"07/31/2000, 04:00:50",136
1,5.0,"07/31/2000, 03:20:08",184
1,3.0,"07/31/2000, 03:16:25",190
1,5.0,"07/31/2000, 03:19:39",197
1,4.0,"07/31/2000, 03:15:08",201
1,5.0,"07/31/2000, 03:28:00",224
1,3.0,"07/31/2000, 03:49:27",257
1,3.0,"07/31/2000, 03:38:30",275
1,5.0,"07/31/2000, 03:19:39",291
1,4.0,"07/31/2000, 03:42:43",307
1,4.0,"07/31/2000, 03:16:02",314
1,5.0,"07/31/2000, 03:43:08",320
1,4.0,"07/31/2000, 03:28:30",325
1,3.0,"07/31/2000, 03:39:23",367
1,4.0,"07/31/2000, 03:14:28",384
1,5.0,"07/31/2000, 03:31:49",398
1,4.0,"07/31/2000, 03:39:06",418
1,3.0,"07/31/2000, 03:20:08",436
1,5.0,"07/31/2000, 04:06:42",461
1,4.0,"07/31/2000, 03:19:39",476
1,4.0,"07/31/2000, 03:44:13",484
1,5.0,"07/31/2000, 04:09:13",485
1,4.0,"07/31/2000, 03:42:26",508
1,4.0,"07/31/2000, 03:37:51",509
1,4.0,"07/31/2000, 04:03:13",510
1,5.0,"07/31/2000, 03:47:18",513
1,5.0,"07/31/2000, 03:48:51",520
1,3.0,"07/31/2000, 03:42:43",546
1,5.0,"07/31/2000, 03:47:18",551
1,3.0,"07/31/2000, 03:29:35",559
1,4.0,"07/31/2000, 03:40:00",592
1,3.0,"07/31/2000, 03:44:13",594
1,3.0,"07/31/2000, 04:08:06",615
1,4.0,"07/31/2000, 03:08:19",632
1,5.0,"07/31/2000, 03:41:15",701
1,5.0,"07/31/2000, 03:25:29",705
1,5.0,"07/31/2000, 03:36:16",720
1,4.0,"07/31/2000, 04:00:14",723
1,5.0,"07/31/2000, 03:53:39",734
1,3.0,"07/31/2000, 03:29:35",767
1,5.0,"07/31/2000, 03:44:41",781
1,5.0,"07/31/2000, 03:47:56",782
1,5.0,"07/31/2000, 03:46:31",783
1,5.0,"07/31/2000, 03:47:35",786
1,3.0,"07/31/2000, 03:48:23",787
1,5.0,"07/31/2000, 03:44:13",788
1,5.0,"07/31/2000, 03:46:31",789
1,4.0,"07/31/2000, 03:19:39",797
1,5.0,"07/31/2000, 03:40:00",801
1,4.0,"07/31/2000, 03:15:24",810
1,5.0,"07/31/2000, 03:28:00",815
1,5.0,"07/31/2000, 03:22:07",819
1,5.0,"07/31/2000, 03:49:11",827
1,4.0,"07/31/2000, 04:06:58",828
1,5.0,"07/31/2000, 03:58:04",830
1,5.0,"07/31/2000, 03:28:00",835
1,4.0,"07/31/2000, 03:41:53",855
1,5.0,"07/31/2000, 03:22:07",862
1,5.0,"07/31/2000, 03:30:27",897
1,5.0,"07/31/2000, 03:31:12",898
1,5.0,"07/31/2000, 03:30:27",899
1,5.0,"07/31/2000, 04:02:17",906
1,4.0,"07/31/2000, 03:54:10",908
1,5.0,"07/31/2000, 03:08:19",910
1,5.0,"07/31/2000, 03:49:11",913
1,4.0,"07/31/2000, 03:30:55",914
1,2.0,"07/31/2000, 03:56:33",919
1,5.0,"07/31/2000, 03:31:49",920
1,5.0,"07/31/2000, 03:31:49",922
1,5.0,"07/31/2000, 04:06:58",924
1,5.0,"07/31/2000, 04:00:18",926
1,5.0,"07/31/2000, 04:02:03",938
1,5.0,"07/31/2000, 03:24:02",954
1,3.0,"07/31/2000, 03:56:54",956
1,4.0,"07/31/2000, 03:59:59",963
1,5.0,"07/31/2000, 04:01:45",968
1,5.0,"07/31/2000, 03:38:10",973
1,5.0,"07/31/2000, 03:56:54",976
1,5.0,"07/31/2000, 03:45:03",980
1,5.0,"07/31/2000, 03:31:49",989
1,5.0,"07/31/2000, 04:08:06",995
1,4.0,"07/31/2000, 03:56:33",1035
1,3.0,"07/31/2000, 03:44:13",1059
1,3.0,"07/31/2000, 03:50:17",1075
1,3.0,"07/31/2000, 03:38:30",1083
1,3.0,"07/31/2000, 04:08:32",1109
1,4.0,"07/31/2000, 03:14:35",1125
1,4.0,"07/31/2000, 03:16:25",1145
1,5.0,"07/31/2000, 03:18:27",1153
1,4.0,"07/31/2000, 03:43:40",1170
1,5.0,"07/31/2000, 03:38:10",1180
1,3.0,"07/31/2000, 03:18:45",1182
1,5.0,"07/31/2000, 03:39:06",1189
1,5.0,"07/31/2000, 03:49:11",1217
1,4.0,"07/31/2000, 03:50:56",1219
1,5.0,"07/31/2000, 03:58:24",1223
1,3.0,"07/31/2000, 03:58:56",1234
1,3.0,"07/31/2000, 03:43:40",1260
1,5.0,"07/31/2000, 03:18:45",1297
1,4.0,"07/31/2000, 03:20:30",1318
1,4.0,"07/31/2000, 03:23:24",1325
1,5.0,"07/31/2000, 03:50:34",1331
1,4.0,"07/31/2000, 03:50:56",1332
1,4.0,"07/31/2000, 03:29:40",1400
1,5.0,"07/31/2000, 03:24:57",1406
1,5.0,"07/31/2000, 03:36:16",1430
1,4.0,"07/31/2000, 03:28:30",1443
1,4.0,"07/31/2000, 03:36:51",1474
1,5.0,"07/31/2000, 03:28:30",1479
1,4.0,"07/31/2000, 04:09:36",1486
1,5.0,"07/31/2000, 03:08:43",1492
1,4.0,"07/31/2000, 03:31:28",1502
1,5.0,"07/31/2000, 03:48:23",1504
1,4.0,"07/31/2000, 03:42:43",1515
1,5.0,"07/31/2000, 03:46:31",1516
1,4.0,"07/31/2000, 03:29:07",1521
1,5.0,"07/31/2000, 03:40:00",1525
1,5.0,"07/31/2000, 03:47:18",1542
1,5.0,"07/31/2000, 03:47:18",1552
1,3.0,"07/31/2000, 03:28:30",1555
1,5.0,"07/31/2000, 03:44:13",1556
1,4.0,"07/31/2000, 03:47:18",1558
1,4.0,"07/31/2000, 03:43:08",1561
1,4.0,"07/31/2000, 03:28:45",1566
1,5.0,"07/31/2000, 03:42:09",1575
1,5.0,"07/31/2000, 03:47:56",1576
1,5.0,"07/31/2000, 03:46:31",1594
1,5.0,"07/31/2000, 03:46:31",1596
1,5.0,"07/31/2000, 03:47:18",1598
1,4.0,"07/31/2000, 03:28:45",1600
1,5.0,"07/31/2000, 03:28:30",1616
1,4.0,"07/31/2000, 03:28:00",1627
1,4.0,"07/31/2000, 03:28:30",1643
1,2.0,"07/31/2000, 03:29:35",1673
1,4.0,"07/31/2000, 03:49:49",1686
1,4.0,"07/31/2000, 03:38:30",1690
1,5.0,"07/31/2000, 04:01:04",1703
1,5.0,"07/31/2000, 03:54:23",1733
1,2.0,"07/31/2000, 03:59:06",1742
1,5.0,"07/31/2000, 04:04:21",1754
1,4.0,"07/31/2000, 03:41:02",1767
